,-25,39,17,-35,-10,-21,-67,-28,17,3,-2,-15,-42,-21,-4,-25,-9,18,1,-9,2,0,1,3,-2,7,6,-8,5,16,-5,-11,2,0,1,7,-5,-13,-3,-5,-30,43,18,-38,-5,-23,-83,-43,5,-12,-8,-15,-46,-24,-3,-27,-12,17,-3,-14,0,-1,2,3,0,12,12,-6,8,22,2,-3,6,0,6,17,2,-8,0,-6
,-31,53,22,-43,0,-14,-84,-45,0,-23,-5,6,-38,-32,-4,-21,-11,17,1,-8,2,0,1,3,-1,10,3,-16,3,20,-3,-9,0,-8,-1,12,-4,-12,1,-6,-34,54,25,-42,2,-6,-78,-43,3,-19,1,17,-30,-30,2,-12,-10,12,1,-8,3,1,1,3,0,6,2,-10,8,18,-2,-6,0,-8,1,11,-5,-12,1,-6
,-36,55,27,-43,3,-1,-67,-31,2,-30,0,25,-28,-32,4,-11,-13,11,1,-8,3,1,1,4,1,7,5,-5,7,13,-2,0,3,-8,1,9,-10,-13,1,-7,-41,56,29,-43,4,1,-65,-24,13,-25,-7,14,-33,-35,-6,-23,-17,15,6,-5,3,0,1,2,-1,10,7,-9,1,7,-7,3,12,-6,-4,6,-10,-12,4,-8
,-46,52,29,-42,0,-5,-69,-26,16,-23,-13,2,-42,-39,-8,-24,-20,10,3,-6,2,0,1,2,-1,11,9,-8,4,11,-6,3,14,-3,-2,11,-2,-8,4,-8,-50,52,32,-37,12,16,-47,-8,29,-14,-8,4,-44,-42,-7,-25,-25,5,2,-6,2,0,1,2,-1,6,1,-9,7,11,-6,7,18,-3,-4,10,-1,-7,3,-9
,-53,49,30,-39,14,25,-37,-8,22,-12,10,26,-30,-35,-1,-16,-19,6,-3,-10,1,0,1,3,0,6,1,-11,5,10,-8,2,14,-3,-2,10,-4,-10,3,-9,-56,45,25,-40,18,25,-41,-5,30,-10,6,24,-30,-34,3,-10,-16,2,-6,-10,1,0,1,3,-1,5,0,-11,10,16,-8,-4,10,-2,0,7,-7,-8,6,-9
,-58,44,27,-38,18,20,-48,-10,26,-18,-7,8,-39,-30,16,-3,-19,2,-1,-5,3,0,1,2,-2,5,3,-5,10,11,-12,-7,2,-9,-4,6,-4,0,13,-10,-60,43,24,-43,12,17,-45,-2,30,-21,-8,16,-33,-35,1,-14,-19,4,-4,-11,1,1,1,3,1,10,10,0,12,14,-4,6,16,-1,2,13,1,0,10,-10
,-61,45,26,-43,17,30,-32,3,32,-15,2,22,-33,-38,3,-10,-14,12,4,-7,1,0,1,4,0,9,9,-3,9,12,-9,-4,7,-4,0,12,1,-2,10,-10,-62,40,19,-46,19,30,-38,-4,23,-28,-7,26,-20,-21,18,-1,-11,13,5,-7,-1,-1,1,2,-2,6,6,-2,11,9,-14,-7,6,-5,1,12,0,1,13,-11
,-69,35,14,-50,21,31,-39,1,35,-17,-3,24,-28,-32,10,-7,-15,12,6,-8,-2,-1,1,1,-4,3,2,-7,3,0,-19,-7,5,-8,-2,5,-11,-8,7,-11,-71,36,19,-44,19,26,-40,7,44,-10,1,29,-15,-16,16,-8,-16,10,3,-9,-1,0,1,1,-3,4,2,-10,4,5,-15,-4,9,-7,-4,11,1,-1,8,-10
,-66,37,19,-45,15,22,-41,4,33,-24,-9,23,-20,-19,16,-9,-18,12,7,-9,-3,-1,1,0,-6,3,4,-5,7,7,-13,-3,9,-8,-7,8,2,2,9,-11,-68,35,18,-49,10,22,-39,-1,28,-22,-8,22,-18,-14,17,-13,-25,5,3,-8,0,0,0,0,-5,3,6,-4,1,1,-12,-3,4,-6,-2,1,-12,-5,8,-11
,-73,33,15,-55,3,15,-48,-11,17,-32,-15,16,-23,-23,6,-20,-24,9,3,-8,1,1,0,1,-3,4,3,-5,10,15,-2,0,3,-11,-3,10,-2,-2,7,-11,-72,37,21,-48,10,15,-50,-8,19,-37,-17,21,-23,-29,1,-20,-24,7,4,-5,2,0,0,0,-4,3,-2,-11,5,3,-21,-8,4,-12,-4,8,-6,-4,9,-11
