,-48,53,23,-48,11,12,-64,-25,20,-19,-3,18,-31,-33,-3,-27,-27,6,0,-9,1,0,1,4,2,12,12,-2,9,13,-9,-5,8,-5,-3,7,-4,-6,7,-8,-47,54,30,-40,14,16,-52,-12,29,-11,0,14,-33,-29,3,-20,-20,10,1,-9,2,0,1,3,-3,7,11,-2,5,5,-13,-5,6,-10,-5,10,0,-5,5,-9
,-51,49,26,-43,12,18,-49,-16,18,-22,-8,13,-27,-24,2,-25,-27,3,-3,-11,-1,-1,1,2,-1,10,10,-4,10,18,-2,1,11,-3,-2,10,0,-4,6,-9,-52,54,30,-44,11,19,-45,-4,31,-18,-8,16,-21,-14,14,-16,-23,6,-2,-12,0,0,1,1,-4,4,1,-12,4,11,-9,-4,7,-9,-6,10,0,-6,6,-9
,-53,54,34,-38,18,26,-42,-7,27,-27,-20,16,-17,-23,3,-13,-18,8,3,-7,-1,-1,1,1,-2,6,5,-4,8,8,-13,-5,6,-9,-5,9,0,-3,6,-9,-58,51,32,-36,23,25,-49,-10,20,-41,-28,15,-18,-24,3,-20,-29,-1,-3,-10,0,0,1,2,-3,6,5,-5,9,14,-6,-3,7,-6,-3,8,0,0,8,-10
,-62,48,31,-37,24,30,-39,0,30,-31,-18,22,-14,-21,3,-21,-25,5,0,-10,0,0,1,1,-1,7,3,-6,11,17,-4,3,14,-2,1,14,3,0,9,-10,-62,50,32,-32,33,34,-42,-2,33,-21,-3,33,-16,-21,14,-8,-20,4,-1,-8,1,0,1,1,-4,5,3,-10,3,6,-14,-7,7,-2,7,21,7,1,7,-10
,-62,50,31,-38,26,30,-47,-7,32,-19,-4,28,-16,-17,18,-9,-22,6,3,-7,2,1,0,0,-5,5,5,-9,1,5,-12,-2,11,-4,-2,13,3,-3,5,-11,-66,44,27,-42,19,28,-46,-14,24,-19,-5,21,-20,-15,19,-10,-25,1,0,-8,1,0,0,-1,-5,6,7,-7,3,7,-11,-4,12,1,1,12,4,0,4,-11
,-68,41,23,-47,15,23,-50,-16,20,-26,-12,14,-30,-27,9,-18,-30,-1,-1,-10,-2,-1,1,1,-3,6,11,9,21,15,-8,5,20,5,5,13,2,2,9,-11,-69,40,22,-44,22,29,-43,-3,29,-32,-22,14,-23,-24,7,-18,-25,6,0,-10,-1,0,0,0,-5,5,7,0,11,9,-11,2,13,-6,-3,13,3,1,8,-11
,-70,38,20,-46,23,37,-27,10,35,-24,-7,25,-24,-27,13,-6,-17,6,1,-7,2,1,0,-1,-4,6,4,-6,9,10,-8,5,15,-7,-8,5,-2,0,7,-11,-69,39,20,-46,22,33,-33,11,44,-13,3,39,-7,-16,14,-9,-19,9,6,-3,3,0,0,0,-3,6,4,-7,6,6,-15,-4,12,-2,-4,6,0,3,8,-11
,-70,40,20,-51,12,26,-36,9,43,-14,-3,28,-13,-15,16,-11,-22,4,0,-8,1,0,0,-1,-5,6,5,-10,2,9,-9,-2,12,-3,-6,7,3,1,4,-11,-71,38,16,-55,15,31,-38,2,36,-24,-13,29,-5,-10,20,-1,-11,11,5,-5,3,1,0,0,-4,3,1,-8,5,7,-11,0,13,1,4,13,2,2,8,-11
,-73,36,17,-52,16,29,-39,4,40,-17,-5,32,-5,-10,17,-7,-15,10,3,-6,3,1,0,0,-3,6,4,-4,10,11,-9,-2,3,-12,-2,9,-9,-10,2,-11,-70,39,21,-43,26,32,-37,14,53,-9,3,40,-5,-13,17,-5,-13,11,2,-7,3,1,0,0,-5,4,4,-4,12,12,-13,-4,10,-5,-1,10,-3,-4,5,-11
,-68,39,17,-47,26,34,-35,15,49,-23,-17,27,-9,-16,11,-14,-21,7,2,-7,2,1,0,0,-5,4,2,-5,12,10,-19,-13,4,-4,4,14,-3,-6,6,-11,-73,36,14,-54,15,25,-43,5,35,-36,-24,24,-17,-29,9,-7,-21,3,2,-7,0,0,0,-1,-5,3,2,-6,6,5,-16,-7,7,-2,2,9,-5,-6,6,-11
