 -7,  -43,  8,  -1,  -24,  12,  3,  -35,  1,  24,  -2,  12,  24,  -11,  -14,  1,  -14,  -11,  6,  -3, 
 -9,  -1,  -1,  1,  0,  -5,  3,  6,  0,  8,  5,  -13,  -9,  -4,  -13,  -3,  8,  0,  1,  7, 
 -7,  -44,  7,  -1,  -24,  16,  14,  -17,  13,  21,  -13,  -2,  6,  -21,  -7,  15,  -6,  -6,  10,  0, 
 -6,  1,  -1,  1,  1,  -2,  7,  4,  -7,  2,  2,  -13,  -4,  4,  -7,  0,  11,  3,  4,  8, 
 -7,  -41,  9,  -2,  -24,  13,  3,  -27,  14,  27,  -6,  15,  25,  -17,  -11,  13,  -11,  -16,  6,  -1, 
 -7,  0,  0,  1,  1,  -3,  4,  1,  -8,  4,  5,  -11,  -4,  4,  -7,  1,  14,  4,  0,  6, 
 -7,  -41,  10,  1,  -25,  8,  6,  -16,  22,  34,  0,  11,  18,  -12,  1,  22,  -4,  -14,  1,  -4, 
 -5,  3,  0,  1,  1,  -3,  5,  5,  -5,  4,  5,  -8,  -1,  6,  -8,  -4,  10,  3,  -1,  3, 
 -7,  -43,  9,  7,  -15,  15,  13,  -8,  24,  28,  -6,  9,  23,  0,  12,  25,  -4,  -10,  4,  -5, 
 -6,  3,  1,  0,  -2,  -4,  6,  4,  -4,  7,  5,  -11,  -1,  10,  -3,  0,  7,  -3,  -4,  5, 
 -7,  -40,  11,  2,  -21,  16,  11,  -20,  13,  27,  0,  21,  31,  -4,  2,  20,  -7,  -16,  -1,  -5, 
 -6,  2,  0,  0,  -1,  -3,  8,  6,  -6,  4,  6,  -8,  3,  15,  3,  5,  14,  1,  -3,  3, 
 -7,  -42,  6,  -2,  -23,  8,  -3,  -28,  16,  33,  0,  12,  20,  -13,  -6,  10,  -14,  -15,  5,  -1, 
 -6,  1,  0,  0,  -1,  -5,  3,  3,  -1,  11,  8,  -7,  5,  15,  3,  8,  14,  -1,  -3,  5, 
 -7,  -45,  4,  -3,  -24,  7,  2,  -14,  34,  45,  4,  16,  26,  -10,  -6,  15,  -7,  -13,  4,  0, 
 -4,  1,  0,  0,  -1,  -4,  4,  3,  -3,  9,  9,  -6,  3,  11,  0,  3,  8,  -4,  -4,  3, 
 -7,  -42,  6,  -1,  -21,  16,  10,  -19,  14,  24,  -7,  11,  20,  -10,  0,  17,  -11,  -18,  -2,  -6, 
 -6,  2,  0,  0,  -1,  -2,  6,  3,  -2,  14,  12,  -4,  8,  14,  0,  6,  14,  2,  3,  9, 
 -7,  -40,  8,  1,  -19,  17,  12,  -15,  19,  28,  -5,  10,  22,  -5,  3,  14,  -11,  -12,  6,  0, 
 -3,  3,  0,  0,  -2,  -4,  6,  3,  -5,  10,  12,  -4,  6,  14,  -1,  2,  10,  -1,  -2,  6, 
 -7,  -44,  9,  2,  -24,  11,  10,  -18,  14,  28,  -5,  0,  10,  -9,  2,  15,  -6,  -8,  7,  0, 
 -3,  2,  0,  0,  -2,  -1,  11,  6,  -6,  6,  8,  -5,  8,  18,  2,  2,  8,  -4,  -5,  5, 
 -7,  -39,  11,  3,  -24,  8,  4,  -22,  15,  29,  -4,  8,  19,  -11,  -5,  17,  2,  -3,  8,  1, 
 -3,  2,  0,  0,  -3,  -5,  7,  4,  -8,  -2,  -2,  -14,  -6,  1,  -10,  -5,  5,  -2,  -5,  0, 
 -4,  -22,  12,  -9,  -40,  -24,  -31,  -30,  31,  43,  -2,  8,  22,  -15,  -18,  12,  14,  11,  13,  2, 
 -3,  0,  -1,  0,  -3,  -6,  3,  -1,  -10,  9,  18,  -4,  -10,  1,  0,  0,  2,  -2,  1,  4, 
 -4,  -19,  10,  -1,  -30,  -29,  -33,  -21,  29,  35,  -2,  2,  9,  -21,  -27,  2,  16,  12,  4,  -3, 
 -3,  -3,  -2,  0,  -3,  -2,  6,  -1,  -7,  12,  21,  3,  -7,  -6,  -6,  -4,  -5,  -7,  2,  4, 
 -3,  -15,  13,  0,  -32,  -30,  -29,  -21,  18,  25,  -6,  -12,  -13,  -34,  -26,  7,  16,  8,  3,  -3, 
 -5,  -3,  -2,  0,  -2,  -3,  2,  1,  2,  16,  19,  7,  -2,  -8,  -10,  0,  -3,  -9,  1,  5, 
