 -12,  -86,  34,  20,  -52,  19,  37,  -35,  5,  46,  -10,  1,  42,  0,  -15,  12,  -7,  -18,  4,  -1, 
 -8,  0,  0,  0,  -1,  -5,  3,  -1,  -13,  0,  6,  -10,  -3,  4,  -12,  -7,  6,  -2,  -3,  5, 
 -12,  -84,  39,  26,  -48,  18,  34,  -31,  17,  51,  -13,  -2,  37,  -6,  -10,  22,  -3,  -16,  9,  3, 
 -7,  1,  1,  0,  0,  -4,  4,  3,  -5,  8,  10,  -6,  3,  9,  -9,  -4,  7,  -6,  -6,  5, 
 -12,  -87,  33,  20,  -53,  14,  27,  -46,  -4,  35,  -23,  -8,  36,  -6,  -19,  14,  -2,  -11,  11,  4, 
 -4,  5,  2,  0,  0,  -6,  1,  0,  -9,  6,  11,  -7,  0,  7,  -11,  -8,  10,  1,  -5,  2, 
 -12,  -88,  28,  10,  -58,  21,  37,  -41,  6,  54,  -9,  -10,  26,  -13,  -17,  20,  0,  -15,  9,  6, 
 -4,  2,  1,  0,  0,  -4,  3,  -1,  -16,  -2,  8,  -4,  4,  12,  -5,  -4,  9,  0,  -4,  3, 
 -12,  -85,  30,  15,  -52,  23,  42,  -29,  9,  43,  -16,  -7,  28,  -13,  -15,  21,  -5,  -20,  8,  5, 
 -6,  1,  1,  0,  -1,  -4,  5,  2,  -13,  -2,  5,  -11,  -4,  7,  -6,  -4,  9,  0,  -4,  3, 
 -12,  -83,  35,  17,  -55,  21,  41,  -31,  8,  40,  -18,  -1,  40,  -3,  -11,  19,  -7,  -20,  6,  2, 
 -6,  3,  1,  0,  0,  -4,  7,  6,  -7,  6,  8,  -13,  -6,  3,  -16,  -10,  8,  -4,  -9,  1, 
 -12,  -82,  36,  24,  -44,  29,  46,  -28,  5,  37,  -22,  -5,  44,  7,  -7,  18,  -4,  -18,  2,  -3, 
 -9,  2,  1,  0,  -1,  -4,  4,  2,  -8,  5,  5,  -19,  -12,  4,  -7,  -4,  6,  -4,  -5,  3, 
 -12,  -85,  32,  15,  -53,  26,  44,  -30,  12,  48,  -16,  -6,  36,  -3,  -10,  18,  -8,  -16,  10,  1, 
 -10,  2,  1,  0,  0,  -7,  -1,  -2,  -13,  1,  6,  -15,  -6,  11,  -6,  -11,  0,  -7,  -7,  2, 
 -11,  -81,  32,  14,  -52,  26,  42,  -31,  12,  47,  -21,  -13,  31,  -6,  -18,  10,  -8,  -15,  7,  -1, 
 -8,  3,  1,  0,  -1,  -5,  5,  2,  -11,  7,  14,  -11,  -6,  10,  -4,  -6,  6,  -2,  -3,  7, 
 -11,  -81,  33,  18,  -47,  25,  37,  -37,  7,  46,  -12,  2,  44,  2,  -10,  20,  0,  -11,  8,  -1, 
 -10,  1,  1,  0,  -1,  -5,  5,  3,  -12,  4,  14,  -7,  -5,  6,  -6,  -2,  10,  -3,  -8,  1, 
 -12,  -80,  37,  22,  -47,  25,  42,  -32,  5,  43,  -11,  2,  41,  -2,  -12,  19,  -2,  -17,  3,  -2, 
 -9,  1,  1,  0,  0,  -4,  4,  1,  -12,  -1,  9,  -1,  6,  12,  -2,  4,  13,  -4,  -9,  1, 
 -12,  -82,  34,  18,  -52,  21,  37,  -39,  0,  38,  -20,  -9,  32,  -8,  -16,  17,  -3,  -14,  10,  5, 
 -8,  -1,  0,  0,  -2,  -10,  -1,  0,  -13,  -5,  -1,  -12,  -2,  6,  -8,  0,  13,  0,  -5,  3, 
 -12,  -80,  35,  18,  -53,  23,  43,  -29,  8,  45,  -9,  2,  37,  -6,  -12,  21,  -4,  -18,  8,  3, 
 -8,  0,  0,  0,  -1,  -8,  1,  5,  -4,  3,  6,  -7,  0,  6,  -8,  0,  13,  -1,  -4,  6, 
 -12,  -81,  34,  18,  -52,  19,  36,  -34,  6,  38,  -24,  -9,  35,  -6,  -14,  20,  -3,  -19,  4,  2, 
 -5,  4,  1,  0,  0,  -6,  -2,  -3,  -12,  3,  8,  -11,  -5,  10,  1,  5,  11,  -4,  -5,  5, 
 -12,  -83,  34,  22,  -45,  24,  39,  -32,  4,  35,  -22,  -8,  31,  -7,  -10,  21,  -2,  -14,  6,  0, 
 -6,  3,  1,  1,  1,  -3,  6,  3,  -10,  5,  13,  -1,  8,  16,  -5,  -5,  8,  -1,  -2,  7, 
 -12,  -82,  35,  20,  -51,  19,  36,  -36,  4,  41,  -16,  -4,  33,  -11,  -20,  14,  -6,  -19,  3,  0, 
 -7,  2,  1,  0,  -2,  -8,  4,  5,  -13,  -6,  4,  -7,  -1,  4,  -11,  -9,  4,  -3,  -4,  1, 
 -12,  -84,  34,  21,  -50,  17,  26,  -49,  -8,  35,  -19,  -6,  33,  -10,  -24,  5,  -13,  -22,  1,  -2, 
 -8,  2,  0,  1,  0,  -4,  8,  9,  -4,  7,  16,  1,  4,  10,  -6,  -4,  7,  1,  4,  8, 
 -12,  -81,  35,  22,  -44,  28,  44,  -26,  17,  56,  -8,  -4,  35,  0,  -10,  16,  -6,  -17,  5,  0, 
 -7,  3,  1,  0,  -2,  -7,  4,  7,  -4,  3,  6,  -10,  -4,  7,  -4,  0,  9,  -1,  -1,  5, 
 -11,  -81,  35,  19,  -50,  21,  38,  -32,  13,  54,  -8,  -5,  36,  4,  -4,  24,  2,  -12,  6,  -1, 
 -7,  3,  2,  -1,  -4,  -9,  2,  4,  -8,  8,  17,  -4,  -4,  6,  -4,  0,  12,  3,  -1,  5, 
 -12,  -81,  35,  20,  -49,  22,  35,  -37,  7,  49,  -8,  2,  41,  2,  -8,  18,  -8,  -17,  9,  3, 
 -8,  1,  1,  0,  -2,  -7,  6,  6,  -12,  -2,  6,  -10,  -5,  7,  -4,  0,  14,  4,  -2,  4, 
 -8,  -57,  27,  20,  -34,  -7,  -15,  -62,  -15,  45,  40,  28,  -3,  -31,  3,  13,  -30,  -20,  11,  -2, 
 -6,  4,  0,  1,  -1,  -10,  1,  1,  -13,  1,  8,  -12,  -5,  7,  -8,  -6,  6,  -2,  1,  11, 
 -7,  -46,  25,  22,  -25,  -17,  -38,  -73,  -24,  34,  43,  38,  -5,  -37,  5,  15,  -30,  -18,  13,  -3, 
 -7,  4,  -1,  2,  -1,  -9,  4,  4,  -9,  6,  12,  -7,  3,  12,  -7,  -4,  6,  -5,  -1,  9, 
 -6,  -39,  29,  20,  -30,  -20,  -42,  -78,  -29,  22,  26,  33,  3,  -34,  -2,  11,  -29,  -22,  5,  -9, 
 -11,  3,  -1,  2,  1,  -9,  1,  2,  -9,  6,  11,  -6,  8,  20,  -4,  -3,  12,  -2,  -5,  9, 
 -5,  -35,  30,  16,  -34,  -19,  -37,  -79,  -38,  20,  37,  43,  6,  -36,  -5,  10,  -24,  -15,  8,  -8, 
 -11,  1,  -2,  2,  0,  -10,  2,  4,  -8,  1,  0,  -12,  11,  24,  0,  3,  14,  -6,  -12,  4, 
 -5,  -33,  33,  14,  -39,  -20,  -38,  -87,  -40,  29,  43,  37,  -4,  -40,  -2,  13,  -29,  -21,  8,  -7, 
 -11,  2,  -1,  2,  1,  -9,  2,  7,  -9,  -3,  6,  -2,  9,  18,  3,  4,  10,  -6,  -7,  4, 
 -5,  -32,  33,  14,  -41,  -24,  -42,  -90,  -42,  30,  43,  31,  -10,  -37,  1,  9,  -34,  -24,  8,  -4, 
 -9,  1,  -2,  2,  0,  -8,  5,  7,  -11,  -4,  5,  -6,  5,  18,  5,  4,  11,  -2,  -5,  5, 
 -5,  -32,  34,  17,  -37,  -25,  -48,  -92,  -37,  37,  46,  29,  -10,  -35,  2,  8,  -36,  -25,  8,  -3, 
 -8,  2,  -1,  2,  0,  -7,  7,  7,  -14,  -6,  4,  -7,  4,  20,  7,  7,  13,  -1,  -4,  6, 
 -5,  -33,  34,  14,  -39,  -17,  -31,  -75,  -30,  29,  40,  41,  -1,  -40,  0,  14,  -37,  -31,  7,  -2, 
 -8,  2,  -1,  2,  0,  -9,  4,  6,  -9,  -1,  2,  -11,  7,  20,  3,  7,  17,  -1,  -5,  8, 
 -5,  -31,  39,  20,  -43,  -32,  -35,  -61,  -19,  27,  33,  39,  4,  -40,  -11,  7,  -27,  -21,  7,  -3, 
 -6,  3,  -1,  1,  -1,  -9,  4,  7,  -7,  1,  2,  -13,  4,  21,  4,  1,  10,  -1,  -1,  9, 
 -5,  -31,  43,  18,  -51,  -32,  -37,  -71,  -21,  31,  23,  28,  9,  -35,  -16,  5,  -26,  -24,  3,  -3, 
 -6,  4,  -1,  2,  1,  -8,  3,  6,  -8,  -2,  4,  -8,  1,  15,  4,  6,  14,  2,  -2,  4, 
 -5,  -33,  50,  20,  -55,  -27,  -34,  -80,  -21,  38,  20,  24,  16,  -32,  -23,  4,  -22,  -23,  4,  -2, 
 -7,  2,  -1,  1,  0,  -6,  4,  4,  -10,  0,  6,  -8,  1,  13,  3,  8,  16,  0,  -3,  6, 
 -5,  -34,  50,  23,  -51,  -28,  -37,  -77,  -18,  32,  15,  25,  10,  -43,  -21,  8,  -28,  -28,  7,  -1, 
