 -12,  -82,  39,  25,  -48,  21,  37,  -33,  10,  48,  -13,  -3,  38,  -2,  -13,  17,  -2,  -16,  1,  -5, 
 -8,  2,  1,  0,  -1,  -5,  6,  5,  -9,  1,  2,  -15,  -1,  8,  -9,  -2,  16,  4,  -2,  6, 
 -12,  -85,  34,  17,  -55,  19,  39,  -30,  16,  54,  -10,  -1,  40,  -3,  -14,  17,  -5,  -20,  2,  1, 
 -5,  3,  1,  0,  -4,  -12,  0,  3,  -9,  1,  5,  -11,  -4,  6,  -4,  7,  16,  -3,  -10,  0, 
 -12,  -83,  41,  28,  -44,  27,  40,  -37,  8,  55,  -6,  0,  42,  1,  -16,  12,  -7,  -21,  0,  -1, 
 -6,  3,  1,  0,  -1,  -4,  3,  -1,  -13,  3,  8,  -11,  -3,  8,  -7,  -5,  7,  -3,  -7,  2, 
 -12,  -85,  36,  23,  -49,  20,  35,  -38,  1,  40,  -15,  2,  46,  1,  -22,  2,  -13,  -19,  4,  -1, 
 -6,  3,  1,  0,  0,  -4,  5,  4,  -7,  5,  6,  -16,  -9,  2,  -12,  -8,  7,  -2,  -4,  4, 
 -12,  -86,  35,  21,  -52,  24,  48,  -26,  11,  52,  -7,  0,  41,  1,  -13,  14,  -7,  -19,  4,  1, 
 -6,  2,  1,  0,  1,  -4,  4,  5,  -3,  6,  4,  -15,  -2,  13,  -2,  -1,  10,  0,  -6,  0, 
 -12,  -84,  40,  26,  -47,  26,  48,  -26,  8,  44,  -14,  0,  44,  4,  -12,  15,  -5,  -15,  6,  -1, 
 -8,  1,  0,  1,  1,  -3,  6,  5,  -6,  5,  7,  -11,  -1,  10,  -7,  -2,  14,  3,  -2,  6, 
 -12,  -85,  35,  22,  -46,  23,  33,  -37,  11,  47,  -19,  -7,  33,  -15,  -24,  11,  -10,  -22,  2,  -4, 
 -12,  0,  0,  1,  1,  -3,  8,  8,  -3,  11,  16,  -4,  1,  10,  -4,  2,  16,  3,  0,  10, 
